1e-10 10 8.43216
1e-10 12.5893 9.01439
1e-10 15.8489 9.67015
1e-10 19.9526 10.3979
1e-10 25.1189 11.2006
1e-10 31.6228 12.0757
1e-10 39.8107 13.0286
1e-10 50.1187 14.0561
1e-10 63.0957 15.1609
1e-10 79.4328 16.345
1e-10 100 17.6048
1e-10 125.893 18.9452
1e-10 158.489 20.3658
1e-10 199.526 21.8638
1e-10 251.189 23.4441
1e-10 316.228 25.1062
1e-10 398.107 26.8462
1e-10 501.187 28.6686
1e-10 630.957 30.5754
1e-10 794.328 32.5604
1e-10 1000 34.6266
1e-10 1258.93 36.7772
1e-10 1584.89 39.0101
1e-10 1995.26 41.3212
1e-10 2511.89 43.7141
1e-10 3162.28 46.1916
1e-10 3981.07 48.7504
1e-10 5011.87 51.3868
1e-10 6309.57 54.1041
1e-10 7943.28 56.9047
1e-10 10000 59.7864
1e-10 12589.3 62.7432
1e-10 15848.9 65.7794
1e-10 19952.6 68.8985
1e-10 25118.9 72.1033
1e-10 31622.8 75.3872
1e-10 39810.7 78.749
1e-10 50118.7 82.1928
1e-10 63095.7 85.7222
1e-10 79432.8 89.3401
1e-10 100000 93.0439
1e-10 125893 96.8281
1e-10 158489 100.695
1e-10 199526 104.647
1e-10 251189 108.686
1e-10 316228 112.812
1e-10 398107 117.017
1e-10 501187 121.302
1e-10 630957 125.669
1e-10 794328 130.121
1e-10 1e+06 134.657
1e-10 1.25893e+06 139.28
1e-10 1.58489e+06 143.981
1e-10 1.99526e+06 148.76
1e-10 2.51189e+06 153.619
1e-10 3.16228e+06 158.56
1e-10 3.98107e+06 163.583
1e-10 5.01187e+06 168.69
1e-10 6.30957e+06 173.878
1e-10 7.94328e+06 179.14
1e-10 1e+07 184.479
1e-10 1.25893e+07 189.896
1e-10 1.58489e+07 195.392
1e-10 1.99526e+07 200.968
1e-10 2.51189e+07 206.625
1e-10 3.16228e+07 212.361
1e-10 3.98107e+07 218.17
1e-10 5.01187e+07 224.052
1e-10 6.30957e+07 230.008
1e-10 7.94328e+07 236.04
1e-10 1e+08 242.149
1.25893e-10 10 8.43216
1.25893e-10 12.5893 9.01439
1.25893e-10 15.8489 9.67015
1.25893e-10 19.9526 10.3979
1.25893e-10 25.1189 11.2006
